url,final_url,status,content_type,elapsed_ms,error,source_page_url,source_link_href,source_link_text,source_link_title
https://dungeoncrawler.forseti.life/,https://dungeoncrawler.forseti.life/,200,text/html,31,,,,,
https://dungeoncrawler.forseti.life/core/misc/favicon.ico,https://dungeoncrawler.forseti.life/core/misc/favicon.ico,200,image/vnd.microsoft.icon,4,,https://dungeoncrawler.forseti.life/,/core/misc/favicon.ico,,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicon.ico,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicon.ico,200,image/vnd.microsoft.icon,4,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/images/logos/favicon.ico,,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/favicon-16x16.png,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/favicon-16x16.png,200,image/png,5,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/images/logos/favicons/favicon-16x16.png,,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/favicon-32x32.png,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/favicon-32x32.png,200,image/png,5,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/images/logos/favicons/favicon-32x32.png,,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/apple-touch-icon.png,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/apple-touch-icon.png,200,image/png,5,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/images/logos/favicons/apple-touch-icon.png,,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/android-chrome-192x192.png,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/android-chrome-192x192.png,200,image/png,5,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/images/logos/favicons/android-chrome-192x192.png,,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/android-chrome-512x512.png,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/favicons/android-chrome-512x512.png,200,image/png,4,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/images/logos/favicons/android-chrome-512x512.png,,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/manifest.json,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/manifest.json,200,application/json,5,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/manifest.json,,
https://dungeoncrawler.forseti.life/sites/default/files/css/css_PxKOjRqB3pDwIB-zz3FXm7_ae_38hpc3THBc4TMihV4.css?delta=0&language=en&theme=dungeoncrawler&include=eJxLKc1LT83PSy5KLM9JLdIvLqnMSdUpriwuSc3VT0osTgUA17IM3A,https://dungeoncrawler.forseti.life/sites/default/files/css/css_PxKOjRqB3pDwIB-zz3FXm7_ae_38hpc3THBc4TMihV4.css?delta=0&language=en&theme=dungeoncrawler&include=eJxLKc1LT83PSy5KLM9JLdIvLqnMSdUpriwuSc3VT0osTgUA17IM3A,200,text/css,69,,https://dungeoncrawler.forseti.life/,/sites/default/files/css/css_PxKOjRqB3pDwIB-zz3FXm7_ae_38hpc3THBc4TMihV4.css?delta=0&language=en&theme=dungeoncrawler&include=eJxLKc1LT83PSy5KLM9JLdIvLqnMSdUpriwuSc3VT0osTgUA17IM3A,,
https://dungeoncrawler.forseti.life/sites/default/files/css/css_UlCe2KE7HGFkAMvnA1lAJ3Dz51AJKs4VPsvrIZfcA5M.css?delta=1&language=en&theme=dungeoncrawler&include=eJxLKc1LT83PSy5KLM9JLdIvLqnMSdUpriwuSc3VT0osTgUA17IM3A,https://dungeoncrawler.forseti.life/sites/default/files/css/css_UlCe2KE7HGFkAMvnA1lAJ3Dz51AJKs4VPsvrIZfcA5M.css?delta=1&language=en&theme=dungeoncrawler&include=eJxLKc1LT83PSy5KLM9JLdIvLqnMSdUpriwuSc3VT0osTgUA17IM3A,200,text/css,67,,https://dungeoncrawler.forseti.life/,/sites/default/files/css/css_UlCe2KE7HGFkAMvnA1lAJ3Dz51AJKs4VPsvrIZfcA5M.css?delta=1&language=en&theme=dungeoncrawler&include=eJxLKc1LT83PSy5KLM9JLdIvLqnMSdUpriwuSc3VT0osTgUA17IM3A,,
https://dungeoncrawler.forseti.life/campaigns,https://dungeoncrawler.forseti.life/campaigns,403,text/html,349,HTTP Error 403: Forbidden,https://dungeoncrawler.forseti.life/,/campaigns,Start Your Adventure,
https://dungeoncrawler.forseti.life/how-to-play,https://dungeoncrawler.forseti.life/how-to-play,200,text/html,476,,https://dungeoncrawler.forseti.life/,/how-to-play,Learn More,
https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/dungeoncrawler_navbar.png,https://dungeoncrawler.forseti.life/themes/custom/dungeoncrawler/images/logos/dungeoncrawler_navbar.png,200,image/png,5,,https://dungeoncrawler.forseti.life/,/themes/custom/dungeoncrawler/images/logos/dungeoncrawler_navbar.png,,Dungeon Crawler logo
